id,municipality,population_M,poopulation_F,population_total,houshold
1,全道の計,2522526,2817013,5339539,2772845
2,市の計,2053771,2311300,4365071,2297386
3,町村の計,468755,505713,974468,475459
4,空知総合振興局の計,140239,158893,299132,153827
5,空知・市の計,107223,122287,229510,120724
6,夕張市,3896,4466,8362,4876
7,岩見沢市,38703,44120,82823,41805
8,美唄市,10547,11664,22211,11822
9,芦別市,6393,7621,14014,7727
10,赤平市,4774,5690,10464,5992
11,三笠市,3976,4808,8784,5040
12,滝川市,19349,21494,40843,21560
13,砂川市,8063,9301,17364,8939
14,歌志内市,1582,1826,3408,1980
16,空知・町村の計,33016,36606,69622,33103
15,深川市,9940,11297,21237,10983
17,南幌町,3643,4044,7687,3450
18,奈井江町,2605,2922,5527,2832
19,上砂川町,1422,1703,3125,1836
20,由仁町,2515,2766,5281,2440
21,長沼町,5357,5685,11042,4994
22,栗山町,5594,6458,12052,5915
23,月形町,1678,1620,3298,1692
24,浦臼町,911,982,1893,886
25,新十津川町,3104,3597,6701,2983
26,妹背牛町,1434,1586,3020,1412
27,秩父別町,1142,1294,2436,1119
28,雨竜町,1200,1303,2503,1175
29,北竜町,914,994,1908,841
31,石狩振興局の計,1118546,1256031,2374577,1250222
32,石狩・市の計,1109061,1245978,2355039,1241167
33,札幌市の計,913077,1039271,1952348,1048469
30,沼田町,1497,1652,3149,1528
34,中央区,105871,128013,233884,139954
35,北区,135353,150194,285547,150737
36,東区,124756,137362,262118,141368
37,白石区,100850,110897,211747,120507
38,豊平区,102588,118878,221466,124908
39,南区,64503,74204,138707,72488
40,西区,98869,115180,214049,112479
41,厚別区,58671,69117,127788,64440
42,手稲区,67050,75058,142108,68639
43,清田区,54566,60368,114934,52949
44,江別市,56574,62425,118999,56564
45,千歳市,49084,47757,96841,48613
46,恵庭市,33814,35707,69521,32818
47,北広島市,28286,30542,58828,27298
49,石狩・町村の計,9485,10053,19538,9055
48,石狩市,28226,30276,58502,27405
50,当別町,7969,8396,16365,7646
52,後志総合振興局の計,99209,113796,213005,114011
51,新篠津村,1516,1657,3173,1409
54,後志・町村の計,45557,48500,94057,49549
53,小樽市,53652,65296,118948,64462
55,島牧村,752,765,1517,839
56,寿都町,1481,1567,3048,1722
57,黒松内町,1371,1533,2904,1520
58,蘭越町,2306,2461,4767,2326
59,ニセコ町,2627,2576,5203,2696
60,真狩村,1032,1056,2088,953
61,留寿都村,1019,1030,2049,1086
62,喜茂別町,1137,1111,2248,1272
63,京極町,1488,1592,3080,1484
64,倶知安町,8367,8065,16432,9055
65,共和町,3054,2980,6034,2878
66,岩内町,6098,6833,12931,6930
67,泊村,785,886,1671,904
68,神恵内村,426,467,893,489
69,積丹町,989,1132,2121,1123
70,古平町,1489,1696,3185,1813
71,仁木町,1619,1767,3386,1747
72,余市町,8888,10350,19238,9986
73,胆振総合振興局の計,190754,205289,396043,205510
74,胆振・市の計,164682,177122,341804,176781
75,室蘭市,41141,44666,85807,46265
76,苫小牧市,84073,88300,172373,87716
77,登別市,23305,25547,48852,24875
78,伊達市,16163,18609,34772,17925
79,胆振・町村の計,26072,28167,54239,28729
80,豊浦町,1907,2173,4080,2220
81,壮瞥町,1239,1362,2601,1354
82,白老町,8252,9062,17314,9529
83,厚真町,2297,2364,4661,2157
84,洞爺湖町,4221,4817,9038,4958
85,安平町,4046,4121,8167,4211
86,むかわ町,4110,4268,8378,4300
87,日高振興局の計,33332,34639,67971,34551
88,日高町,6205,6150,12355,6374
89,平取町,2499,2642,5141,2547
90,新冠町,2726,2848,5574,2743
91,浦河町,6209,6408,12617,6766
92,様似町,2095,2325,4420,2224
93,えりも町,2434,2419,4853,2153
94,新ひだか町,11164,11847,23011,11744
95,渡島総合振興局の計,184613,216210,400823,210837
96,渡島・市の計,141524,167824,309348,165397
97,函館市,119518,143001,262519,143249
98,北斗市,22006,24823,46829,22148
99,渡島・町村の計,43089,48386,91475,45440
100,松前町,3544,3995,7539,4147
101,福島町,1965,2267,4232,2156
102,知内町,2170,2305,4475,2074
103,木古内町,1980,2308,4288,2243
104,七飯町,13240,15323,28563,13728
105,鹿部町,1906,2103,4009,1851
106,森町,7424,8468,15892,7642
107,八雲町,8272,8688,16960,8544
108,長万部町,2588,2929,5517,3055
109,檜山振興局の計,17714,19406,37120,19172
110,江差町,3783,4112,7895,4328
111,上ノ国町,2342,2646,4988,2522
112,厚沢部町,1913,2079,3992,1967
113,乙部町,1770,2063,3833,1909
114,奥尻町,1436,1306,2742,1560
115,今金町,2609,2866,5475,2596
116,せたな町,3861,4334,8195,4290
117,上川総合振興局の計,235212,265834,501046,256241
118,上川・市の計,191503,218249,409752,212512
119,旭川市,158223,181988,340211,177815
120,士別市,9131,10217,19348,9447
121,名寄市,13625,14284,27909,14278
122,富良野市,10524,11760,22284,10972
123,上川・町村の計,43709,47585,91294,43729
124,鷹栖町,3314,3690,7004,3085
125,東神楽町,4899,5481,10380,4320
126,当麻町,3034,3526,6560,3048
127,比布町,1780,2014,3794,1828
128,愛別町,1346,1533,2879,1409
129,上川町,1746,1960,3706,2058
130,東川町,3852,4476,8328,3879
131,美瑛町,4768,5443,10211,4756
132,上富良野町,5607,5360,10967,5379
133,中富良野町,2412,2666,5078,2187
134,南富良野町,1292,1271,2563,1408
135,占冠村,742,708,1450,969
136,和寒町,1618,1858,3476,1694
137,剣淵町,1547,1629,3176,1498
138,下川町,1610,1729,3339,1785
139,美深町,2195,2287,4482,2304
140,音威子府村,401,370,771,487
141,中川町,782,795,1577,827
142,幌加内町,764,789,1553,808
143,留萌振興局の計,22380,24454,46834,24391
144,留萌市,10393,11364,21757,11768
145,留萌・町村の計,11987,13090,25077,12623
146,増毛町,2026,2409,4435,2339
147,小平町,1533,1683,3216,1648
148,苫前町,1518,1675,3193,1554
149,羽幌町,3429,3728,7157,3632
150,初山別村,588,609,1197,549
151,遠別町,1323,1395,2718,1346
152,天塩町,1570,1591,3161,1555
153,宗谷総合振興局の計,31854,33185,65039,33164
154,稚内市,17097,17737,34834,18114
155,宗谷・町村の計,14757,15448,30205,15050
156,猿払村,1338,1385,2723,1227
157,浜頓別町,1806,1921,3727,1969
158,中頓別町,871,891,1762,887
159,枝幸町,3960,4372,8332,4017
160,豊富町,2010,1981,3991,1979
161,礼文町,1299,1299,2598,1310
162,利尻町,1016,1084,2100,1094
163,利尻富士町,1245,1333,2578,1310
164,幌延町,1212,1182,2394,1257
165,オホーツク総合振興局の計,136908,148617,285525,143167
166,オホーツク・市の計,84867,92769,177636,91879
167,北見市,56470,62317,118787,61514
168,網走市,17799,18523,36322,18324
169,紋別市,10598,11929,22527,12041
170,オホーツク・町村の計,52041,55848,107889,51288
171,美幌町,9654,10300,19954,9607
172,津別町,2335,2511,4846,2385
173,斜里町,5784,5939,11723,5584
174,清里町,2056,2110,4166,1779
175,小清水町,2367,2616,4983,2140
176,訓子府町,2433,2677,5110,2097
177,置戸町,1390,1586,2976,1472
178,佐呂間町,2468,2775,5243,2462
179,遠軽町,9895,10467,20362,10421
180,湧別町,4307,4759,9066,4183
181,滝上町,1273,1393,2666,1445
182,興部町,1902,1985,3887,1803
183,西興部村,543,574,1117,673
184,雄武町,2127,2381,4508,2213
185,大空町,3507,3775,7282,3024
186,十勝総合振興局の計,164187,178481,342668,168603
187,帯広市,80024,87629,167653,87166
188,十勝・町村の計,84163,90852,175015,81437
189,音更町,21380,23652,45032,20214
190,士幌町,2999,3215,6214,2739
191,上士幌町,2428,2560,4988,2503
192,鹿追町,2685,2818,5503,2487
193,新得町,3097,3195,6292,3432
194,清水町,4688,4909,9597,4702
195,芽室町,8960,9774,18734,7894
196,中札内村,1927,2031,3958,1861
197,更別村,1601,1634,3235,1332
198,大樹町,2755,2895,5650,2696
199,広尾町,3385,3645,7030,3417
200,幕別町,12906,14162,27068,12369
201,池田町,3232,3643,6875,3406
202,豊頃町,1544,1668,3212,1496
203,本別町,3562,3692,7254,3706
204,足寄町,3433,3628,7061,3550
205,陸別町,1228,1214,2442,1339
206,浦幌町,2353,2517,4870,2294
207,釧路総合振興局の計,110424,123289,233713,124107
208,釧路市,81111,91280,172391,94682
209,釧路・町村の計,29313,32009,61322,29425
210,釧路町,9521,10425,19946,9591
211,厚岸町,4568,5080,9648,4435
212,浜中町,2955,3042,5997,2490
213,標茶町,3710,4018,7728,3680
214,弟子屈町,3524,3904,7428,3915
215,鶴居村,1274,1264,2538,1147
216,白糠町,3761,4276,8037,4167
217,根室振興局の計,37154,38889,76043,35042
218,根室市,12634,13765,26399,12734
219,根室・町村の計,24520,25124,49644,22308
220,別海町,7743,7634,15377,6668
221,中標津町,11571,12090,23661,11121
222,標津町,2627,2748,5375,2400
223,羅臼町,2579,2652,5231,2119
