municipality,km2,population_2017,density
全道計,83423.84,5370807,64
〈全道計〉,78515.62,,68.01
市計,18536.07,4382723,235.49
町村計,64828.75,,
〈町村計〉,59920.53,988084,16.26
〈町計〉,55595.17,958477,16.99
〈村計〉,4325.36,29607,6.85
(注)1 風蓮湖,59.01,,
(注)2 然別湖,3.59,,
,,,
札幌市,1121.26,1947494,1741.21
中央区,46.42,232148,5038.43
北区,63.57,284799,4491.85
東区,56.97,261281,4600.98
白石区,34.47,211431,6142.94
豊平区,46.23,219756,4790.53
南区,657.48,139872,210.97
西区,75.1,213247,2850.19
厚別区,24.38,128198,5241.51
手稲区,56.77,141505,2503.22
清田区,59.87,115257,1919.73
函館市,677.86,265503,387.28
小樽市,243.83,120769,487.83
旭川市,747.66,342848,455.03
室蘭市,80.88,87180,1060.92
釧路市,1362.9,174518,126.49
帯広市,619.34,168096,270.7
北見市,1427.41,119978,83.22
夕張市,763.07,8685,10.96
岩見沢市,481.02,83942,172.18
網走市,471,36912,77.12
留萌市,297.84,22137,73.05
苫小牧市,561.57,173135,306.95
稚内市,761.47,35490,45.75
美唄市,277.69,22724,79.98
芦別市,865.04,14512,16.2
江別市,187.38,119182,635.07
赤平市,129.88,10772,80.57
紋別市,830.67,22866,27.12
士別市,1119.22,19699,17.29
名寄市,535.2,28280,52.15
三笠市,302.52,9001,29.04
根室市,506.25,27018,52.15
千歳市,594.5,96428,162.89
滝川市,115.9,41241,352.4
砂川市,78.68,17565,220.69
歌志内市,55.95,3524,60.91
深川市,529.42,21597,40.11
富良野市,600.71,22598,37.1
登別市,212.21,49440,230.21
恵庭市,294.65,69227,235.94
伊達市,444.21,35098,78.28
北広島市,119.05,59133,494.15
石狩市,722.42,58950,80.98
北斗市,397.44,47181,117.83
,,,
空知総合振興局,2192.44,70992,31.76
南幌町,81.36,7785,94.48
奈井江町,88.19,5648,62.67
上砂川町,39.98,3247,78.16
由仁町,133.74,5368,39.49
長沼町,168.52,11211,65.52
栗山町,203.93,12329,59.1
月形町,150.4,3419,21.93
浦臼町,101.83,1958,18.59
新十津川町,495.47,6789,13.52
妹背牛町,48.64,3110,62.09
秩父別町,47.18,2433,51.63
雨竜町,191.15,2542,13.09
北竜町,158.7,1961,12.02
沼田町,283.35,3192,11.11
石狩振興局,500.9,19822,39.01
当別町,422.86,16602,38.7
新篠津村,78.04,3220,40.66
,,,
後志総合振興局,4062.05,95179,23.16
島牧村,437.18,1544,3.47
寿都町,95.25,3094,32
黒松内町,345.65,2977,8.4
蘭越町,449.78,4889,10.6
ニセコ町,197.13,5142,26.39
真狩村,114.25,2095,18.28
留寿都村,119.84,1974,17.1
喜茂別町,189.41,2256,11.87
京極町,231.49,3119,13.31
倶知安町,261.34,16469,62.88
共和町,304.91,6121,19.79
岩内町,70.6,13180,183.16
泊村,82.28,1739,20.31
神恵内村,147.8,901,6.04
積丹町,238.14,2194,8.91
古平町,188.36,3248,16.91
仁木町,167.96,3392,20.16
余市町,140.59,19617,136.84
赤井川村,280.09,1228,4.51
,,,
胆振総合振興局,2398.16,55219,22.62
豊浦町,233.57,4180,17.47
壮瞥町,205.01,2647,12.69
白老町,425.64,17685,40.68
厚真町,404.61,4674,11.52
洞爺湖町,180.81,9196,49.99
安平町,237.16,8273,34.44
むかわ町,711.36,8564,11.78
,,,
日高振興局,4811.13,69194,14.13
日高町,992.11,12531,12.45
平取町,743.09,5267,6.92
新冠町,585.81,5700,9.52
浦河町,694.26,12805,18.17
様似町,364.3,4534,12.13
えりも町,284,4932,17.09
新ひだか町,1147.55,23425,20.05
渡島総合振興局,2862.16,92967,31.96
松前町,293.25,7793,25.71
福島町,187.28,4347,22.6
知内町,196.75,4583,22.74
木古内町,221.87,4431,19.33
七飯町,216.75,28574,131.78
鹿部町,110.63,4082,36.24
森町,368.79,16255,43.09
八雲町,956.08,17277,17.74
長万部町,310.76,5625,17.75
,,,
檜山振興局,2630.31,38037,14.11
江差町,109.53,8084,72.08
上ノ国町,547.71,5131,9.11
厚沢部町,460.58,4111,8.67
乙部町,162.59,3919,23.57
奥尻町,142.97,2795,19.18
今金町,568.25,5544,9.63
せたな町,638.68,8453,12.83
,,,
上川総合振興局,7615.9,91965,11.99
鷹栖町,139.42,7127,50.24
東神楽町,68.5,10403,151.53
当麻町,204.9,6637,32.02
比布町,86.9,3828,43.66
愛別町,250.13,2963,11.51
上川町,1049.47,3789,3.53
東川町,247.3,8188,33.68
美瑛町,676.78,10335,15.09
上富良野町,237.1,10984,46.25
中富良野町,108.65,5120,46.74
南富良野町,665.54,2592,3.85
占冠村,571.41,1258,2.54
和寒町,225.11,3542,15.44
剣淵町,130.99,3273,24.25
下川町,644.2,3355,5.18
美深町,672.09,4573,6.67
音威子府村,275.63,790,2.8
中川町,594.74,1632,2.65
幌加内町,767.04,1576,2.02
留萌振興局,3148.05,25652,7.97
増毛町,369.71,4606,12
小平町,627.22,3254,5.13
苫前町,454.6,3246,7.02
羽幌町,472.65,7322,15.14
初山別村,279.51,1235,4.28
遠別町,590.8,2781,4.6
天塩町,353.56,3208,8.94
,,,
宗谷総合振興局,3864.6,30671,7.82
猿払村,589.97,2737,4.62
浜頓別町,401.64,3783,9.28
中頓別町,398.51,1775,4.42
枝幸町,1115.93,8473,7.47
豊富町,520.69,4057,7.66
礼文町,81.64,2629,31.82
利尻町,76.51,2147,27.45
利尻富士町,105.61,2646,24.41
幌延町,574.1,2424,4.17
,,,
"オホーツク
総合振興局",7961.45,109575,13.55
美幌町,438.41,20246,45.51
津別町,716.8,4982,6.76
斜里町,737.13,11862,15.9
清里町,402.76,4205,10.34
小清水町,286.89,5059,17.37
訓子府町,190.95,5201,26.76
置戸町,527.27,3034,5.64
佐呂間町,404.94,5346,12.95
遠軽町,1332.45,20717,15.28
湧別町,505.79,9203,17.92
滝上町,766.89,2731,3.48
興部町,362.54,3922,10.72
西興部村,308.08,1118,3.63
雄武町,636.89,4543,7.08
大空町,343.66,7406,21.19
,,,
十勝総合振興局,10208.7,176624,17.14
音更町,466.02,45238,96.63
士幌町,259.19,6236,23.97
上士幌町,694.23,4917,7.18
鹿追町,402.88,5559,13.66
新得町,1063.83,6309,5.91
清水町,402.25,9741,23.86
芽室町,513.76,18918,36.46
中札内村,292.58,3977,13.53
更別村,176.9,3266,18.29
大樹町,815.68,5737,6.93
広尾町,596.54,7179,11.78
幕別町,477.64,27269,56.67
池田町,371.79,6996,18.49
豊頃町,536.71,3240,5.98
本別町,391.91,7406,18.51
足寄町,1408.04,7139,5.01
陸別町,608.9,2500,4.01
浦幌町,729.85,4997,6.67
,,,
釧路総合振興局,4634.18,62077,13.23
釧路町,252.66,19971,78.94
厚岸町,739.26,9837,13.05
浜中町,423.63,6101,14.16
標茶町,1099.37,7821,7.03
弟子屈町,774.33,7607,9.59
鶴居村,571.8,2525,4.44
白糠町,773.13,8215,10.4
,,,
根室振興局,7935.13,50110,6.26
〈根室振興局〉,3026.91,,16.4
別海町,1319.63,15497,11.65
中標津町,684.87,23887,34.55
標津町,624.69,5368,8.6
羅臼町,397.72,5358,13.15
〔三島計〕,4908.22,—,—
〔色丹島〕,250.57,—,—
色丹村,250.57,—,—
〔国後島〕,1489.9,—,—
泊　村,535.35,—,—
留夜別村,954.55,—,—
〔択捉島〕,3167.75,—,—
留別村,1442.82,—,—
紗那村,968.32,—,—
蘂取村,756.61,—,—
,,,
,,,
,,,
,,,
,,,
然別湖,3.59,,
風蓮湖,59.01,,
